2025-06-02 02:32:24.318 | INFO     | __main__:scrape_products:40 - Scraped product 20: 2025 Gaming Laptop 16 Inch Laptop Computer with AMD Ryzen 7 5825U Processor, 16GB DDR4, 1T SSD, FHD Display 1920*1080P, Windows 11 PRO, WiFi 6, Backlit Keyboard HDMI, for Student, Office, Business
2025-06-02 02:32:24.321 | INFO     | __main__:scrape_products:40 - Scraped product 21: ASUS ROG Strix G16 (2025) Gaming Laptop, 16” ROG Nebula 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5080, Intel® Core Ultra 9 275HX, 32GB DDR5, 1TB PCIe Gen 4 SSD, Wi-Fi 7, Windows 11 Home, G615LW-AS96
2025-06-02 02:32:24.324 | INFO     | __main__:scrape_products:40 - Scraped product 22: Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode
2025-06-02 02:32:24.328 | INFO     | __main__:scrape_products:40 - Scraped product 23: MSI Katana 15 15.6” 165Hz QHD Gaming Laptop: Intel Core i7-13620H, NVIDIA Geforce RTX 4070, 16GB DDR5, 1TB NVMe SSD, Cooler Boost 5, Win 11: Black B13VGK-2000US
2025-06-02 02:32:24.331 | INFO     | __main__:scrape_products:40 - Scraped product 24: 2025 Laptop, Laptop Computer with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Windows 11 Laptop, 15.6" IPS 1080P, USB3.2, Long Battery Life
2025-06-02 02:32:24.333 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:24.334 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:24.337 | INFO     | __main__:scrape_products:40 - Scraped product 25: ASUS ROG Strix G16 (2024) Gaming Laptop, 16” ROG Nebula Display 16:10 QHD 240Hz, NVIDIA® GeForce RTX™ 4070, Intel® Core™ i9-14900HX, 16GB DDR5-5600, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Win 11, G614JIR-AS94
2025-06-02 02:32:24.341 | INFO     | __main__:scrape_products:40 - Scraped product 26: 15.6 Inch Laptop Computer, Gaming Laptop, Laptops 16GB RAM 1TB SSD N95 Processor (up to 3.4GHz), FHD IPS 1920 x 1080 Laptop Computers Supports 180 Angle Opening Backlit Keyboard Fingerprint Unlock
2025-06-02 02:32:24.345 | INFO     | __main__:scrape_products:40 - Scraped product 27: HP Victus 15.6 i5 Gaming Laptop, 15.6" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 16GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue
